,title,author_info,rating,pros,cons,helpful
166,Work shop manager,"Sep 14, 2021 - Workshop Manager in Cairo, Cairo Governorate",5.0,Work with team Response for all work shop,There is no nagtive points,Be the first to find this review helpful
167,Good Experience for Interns,"Nov 12, 2021 - Internship",4.0,A lot of projects to do,The company is big and can be overwhelming at first,Be the first to find this review helpful
168,no,"Nov 18, 2021 - Credit Analyst in Pune",4.0,it is nice company nice reputation,it is not a good managment,Be the first to find this review helpful
169,"Good company, Bad Manegers","Nov 10, 2021 - Cost Accountant in Cholula, Puebla",4.0,Benefits. Rental car. Christmas bonus. Profit shares.,Manager very old mind fashion,Be the first to find this review helpful
170,Excellent community environment,"Sep 16, 2021 - Receptionist",5.0,Great progression. Amazing team and management.,Minimum wage and working weekends,Be the first to find this review helpful
171,Very good,"Sep 18, 2021 - Visual Researcher in Frankfurt am Main",5.0,So good to work here,There is nothing to complain,Be the first to find this review helpful
172,Great fake review,"Sep 13, 2021 - Zero Hour Teller in Munich, Bavaria",5.0,Great place to post okay,None none none none nonee,Be the first to find this review helpful
173,The square root of the number of employees do 50% of the work.,"Aug 7, 2021 - Planer in Braunschweig",3.0,"The company provides many benefits, good salary, has a strong reputation and employment seems to be quite secure. There also seems to be a lot of opportunity across the company's many locations.","Not an international working environment with a very German approach; integration of foreign employees given no consideration; and, support from HR is poor with blunt, useless responses.",Be the first to find this review helpful
174,Fine talent,"Sep 6, 2021 - Senior Officer",5.0,Good place to work Value for your views and opinions,Average salary Responsibility is much,Be the first to find this review helpful
175,Environment,"Sep 6, 2021 - Instrumentation Engineer in Pune",5.0,"Good work culture, Seniors are very helpful",No cons because everything is fantastic,Be the first to find this review helpful
176,Good Experience,"Nov 9, 2021 - Product Manager in Berlin",3.0,"International culture, good people, and interesting industry.","Bureaucracy, corporate culture and slow processes.",Be the first to find this review helpful
177,good work experince NA,"Sep 2, 2021 - Anonymous Employee in Pune",5.0,good work experince N A,location Far from the major pune,Be the first to find this review helpful
178,Social responsible and family friendly,"Apr 8, 2021 - Technical Project Manager (Software Engineering) in Wolfsburg, Lower Saxony",3.0,Remote office work possible. Very family friendly. Most of colleagues in Germany are very good colleagues. Very strong workers' union.,"There are 20% old fashioned macho types which still have the old german mentality (from before 1979) which think women are below them. These discriminating bullies are still around, also destructive people from the old management culture, which brought the company to its knees, and with their attitude they destroy the team spirit and demotivate the surrounding team. When these people are managers, they are there for their own gain; they change the position a lot. Although there are also good ones who care for their employees.",1 person found this review helpful
179,ok,"Aug 23, 2021 - NVH CAE Engineer in São Paulo, São Paulo",5.0,good oportunities nice infrastructure access to development,Salary is difficult to change( have upgrade) and difficult to get a promotion,Be the first to find this review helpful
180,Volkswagen of Freehold,"Oct 7, 2015 - Cashier/Receptionist in Freehold, NJ",1.0,"Work was easy, night shift barely anything to do","Hours, No vacation time, management at the time was awful",Be the first to find this review helpful
181,Compliance,"May 18, 2018 - NONE in Herndon, VA",1.0,Friendly staff and good hours,Completely white male dominated and no upward mobility,1 person found this review helpful
182,dont do it!!!,"Oct 5, 2016 - Sales Representative in Dothan, AL",1.0,can be decent money if you're good at prospecting,LONG HOURS COMPLETELY COMMISSION BASED DISHONEST PRACTICES,Be the first to find this review helpful
183,Great Work Culture & Team,"Mar 14, 2022 - CHIEF MANAGER in Mumbai",5.0,Have experienced a good working culture over there ; Amazing co workers,Honestly there is nothing to comment upon the Cons,Be the first to find this review helpful
184,Ok,"Mar 18, 2022 - Quality Engineer in Bratislava",3.0,"13, 14 salary Green koncern Modern offices Flexible hours at my place","Too many byrocracy, too long Not stable place, racios Too little people, minimum hiring Lots of micromanagement",Be the first to find this review helpful
185,perfect,"Mar 8, 2022 - Graduate Student",5.0,home office is a really good option and flexible work time,too much work at the beginning,Be the first to find this review helpful
186,Great company,"Mar 9, 2022 - Sales Executive in Cardiff, Wales",5.0,good pay and management structure,dont have any cons to talk about,Be the first to find this review helpful
187,"Really nice working environment, topics and young people","Mar 3, 2022 - Werkstudent Data Scientist",5.0,--> Nice working environment --> Very interesting topics & projects,Not really any cons apart from typical paper work at big companies,Be the first to find this review helpful
188,Good working environment with nice team,"Mar 18, 2022 - Senior Analyst in Beijing, Beijing",4.0,"Good work life balance, nice team, many learning opportunities",Slow decision-making process; limited chance for rotation,Be the first to find this review helpful
189,Best employer,"Mar 2, 2022 - Project Manager Systems Verification",5.0,Perfect place to work ever,Nothing much to really highlight,Be the first to find this review helpful
190,good,"Feb 17, 2022 - Anonymous Employee",5.0,good workplace environment and friendly,mandatory unpaid overtime which is not great,Be the first to find this review helpful
191,Owner of Product in company and market,"Mar 7, 2022 - Senior Product Manager in Pune",4.0,"Right processes, optimum opportunity, respect for work and values culture","Lobby inside, disproportionate selective growth,",Be the first to find this review helpful
192,It was good,"Mar 11, 2022 - Product Specialist",4.0,Great product and nice perks,Customers don’t like car sales people,Be the first to find this review helpful
193,Projekt ma,"Mar 10, 2022 - Project Manager",3.0,The company use many additional tools,It have too much hierarchy,Be the first to find this review helpful
194,VG BA,"Feb 10, 2022 - Business Analyst in Bedok New Town,",5.0,High exposures and Good benefits,too tired too tired too tired,Be the first to find this review helpful
195,Supervisor,"Mar 2, 2022 - Supervisor in São Paulo, São Paulo",3.0,Good company lots of opportunity,Too much politics in the company,Be the first to find this review helpful
196,VW Shanghai,"Feb 22, 2022 - Engineer",4.0,"Good work life balance, not very busy","Slow salary increase, slow promotion",Be the first to find this review helpful
197,Assembly planning specialist,"Feb 26, 2022 - Planning Specialist in Bratislava",3.0,"big projects, creative work, flexible worktime",lots of stress and pressure,Be the first to find this review helpful
198,Great place to work,"Jan 15, 2022 - Receptionist",5.0,"Flexible scheduling, great coworkers, brand you can be proud about.",Customers are usually difficult to deal with.,Be the first to find this review helpful
199,Good Company,"Jan 19, 2022 - Anonymous Employee",5.0,"Good culture, people are friendly and polite.","Not very transparent, a lot of pressure",Be the first to find this review helpful
200,VWSA,"Dec 15, 2021 - Senior Team LEader in Port Elizabeth",4.0,good working climate and many perks,"long hours and overtime, structure of global corporation",Be the first to find this review helpful
201,stable and giant company,"Dec 14, 2021 - Logistics Manager in Shanghai, Shanghai",4.0,good pay for the young staff,lack of opportunity to promotion,Be the first to find this review helpful
202,Good,"Dec 12, 2021 - Product Manager in Milton Keynes, England",4.0,Development Opportunities & desirable brand / product,Old fashioned culture & Renumeration,Be the first to find this review helpful
203,good company,"Nov 25, 2021 - Manager in Coventry, England",5.0,"I like this company, good leader.",I dont like the food in the company,Be the first to find this review helpful
204,Senior Manager,"Nov 24, 2021 - Anonymous Employee in Pune",5.0,Good worklife balance and good culture,Bad middle management and delay in decision,Be the first to find this review helpful
205,Enjoyable,"Nov 23, 2021 - Administrative Assistant",5.0,"Professional environment, great work life balance",Nothing that comes to my mind,Be the first to find this review helpful
206,How does it feel like,"Nov 15, 2021 - Supply Chain Manager in Beijing, Beijing",5.0,- good culture - nice people - clear career path,growth in salary is slow,Be the first to find this review helpful
207,Great employer,"Nov 29, 2021 - Mechanical Engineer in Lisbon, Lisbon",4.0,Great employer with great challenges,there are no cons in VW,Be the first to find this review helpful
208,Nice place to wirk,"Nov 26, 2021 - Digital Marketing Manager in Dublin, Dublin",4.0,"Nice team culture, good exposure to a well known brand","Salaries not great, progression only happens to the lucky few",1 person found this review helpful
209,Excellent company,"Nov 14, 2021 - Software Engineer in Pune",5.0,Best company to join anytime,Nothing but expetation to develop new things are high,Be the first to find this review helpful
210,Company that appreciates its employees,"Nov 9, 2021 - Automotive Sales in Sydney",5.0,Good working environment with the-best-value-for-money product,Work on the weekends and holidays,Be the first to find this review helpful
211,Wonderful Company,"Nov 9, 2021 - Intern in Wolfsburg, Lower Saxony",5.0,"Location, Global Company, Colleagues, Work and Transparent recruiting",Nothing to write here. As everything was perfect.,Be the first to find this review helpful
212,Salary,"Nov 9, 2021 - Car Salesman in Kildare",5.0,Good commission and nice cars,Long hours and challenging targets,Be the first to find this review helpful
213,no,"Nov 18, 2021 - Credit Analyst in Pune",4.0,it is nice company nice reputation,it is not a good managment,Be the first to find this review helpful
214,Great Opportunity!,"Nov 1, 2021 - Internship in Taipei",5.0,Learn a lot from an international company's views. project planning hr operation,a little bit too stressful,Be the first to find this review helpful
215,great people to work with.,"Nov 15, 2021 - Receptionist",4.0,Great people to work with. Great environment.,They overwork their employees and demand a lot for what they compensate.,Be the first to find this review helpful
216,Good Experience for Interns,"Nov 12, 2021 - Internship",4.0,A lot of projects to do,The company is big and can be overwhelming at first,Be the first to find this review helpful
217,Review,"Oct 26, 2021 - SERVICE ADVISOR in Stoke-on-Trent, England",5.0,Friendly people To work with Good wages,Work pressure from customer’s satisfaction,1 person found this review helpful
218,Happy,"Oct 28, 2021 - Sales Associate in Rickmansworth, England",5.0,Cars and the people I worked with,Being made redundant was my,Be the first to find this review helpful
219,"Good company, Bad Manegers","Nov 10, 2021 - Cost Accountant in Cholula, Puebla",4.0,Benefits. Rental car. Christmas bonus. Profit shares.,Manager very old mind fashion,Be the first to find this review helpful
220,okay,"Oct 12, 2021 - Konstrukteur und Entwicklungsingenieur in Braunschweig",5.0,"Gehalt, Betriebsrente, Sonderzahlungen, Altersteilzeit, 35 Stundenwoche",es gibt zu viele Streber,Be the first to find this review helpful
221,Great company!!,"Oct 5, 2021 - Anonymous Employee",5.0,Excellent international company. Great benefits.,Sometimes work becomes a bit bureaucratic,Be the first to find this review helpful
222,n/a,"Oct 5, 2021 - Designer in Hyderābād",5.0,good better excellent is was,nothing is downside over there,Be the first to find this review helpful
223,Great employer,"Nov 29, 2021 - Mechanical Engineer in Lisbon, Lisbon",4.0,Great employer with great challenges,there are no cons in VW,Be the first to find this review helpful
224,Overall Nice Place to Work,"Oct 29, 2021 - Senior Product Analyst in São Bernardo do Campo",4.0,Nice to learn about corporate and professional relations Great place to build a relevant network Job stability,Bureaucratic and slow decision-making company No meritocracy plan to recognize employees Professional opportunities are not clearly shared Competitive salaries have been decreasing steadily in the last years,Be the first to find this review helpful
225,great people to work with.,"Nov 15, 2021 - Receptionist",4.0,Great people to work with. Great environment.,They overwork their employees and demand a lot for what they compensate.,Be the first to find this review helpful
226,Work shop manager,"Sep 14, 2021 - Workshop Manager in Cairo, Cairo Governorate",5.0,Work with team Response for all work shop,There is no nagtive points,Be the first to find this review helpful
227,Good Experience for Interns,"Nov 12, 2021 - Internship",4.0,A lot of projects to do,The company is big and can be overwhelming at first,Be the first to find this review helpful
228,no,"Nov 18, 2021 - Credit Analyst in Pune",4.0,it is nice company nice reputation,it is not a good managment,Be the first to find this review helpful
229,"Good company, Bad Manegers","Nov 10, 2021 - Cost Accountant in Cholula, Puebla",4.0,Benefits. Rental car. Christmas bonus. Profit shares.,Manager very old mind fashion,Be the first to find this review helpful
230,Excellent community environment,"Sep 16, 2021 - Receptionist",5.0,Great progression. Amazing team and management.,Minimum wage and working weekends,Be the first to find this review helpful
231,Very good,"Sep 18, 2021 - Visual Researcher in Frankfurt am Main",5.0,So good to work here,There is nothing to complain,Be the first to find this review helpful
232,Great fake review,"Sep 13, 2021 - Zero Hour Teller in Munich, Bavaria",5.0,Great place to post okay,None none none none nonee,Be the first to find this review helpful
233,The square root of the number of employees do 50% of the work.,"Aug 7, 2021 - Planer in Braunschweig",3.0,"The company provides many benefits, good salary, has a strong reputation and employment seems to be quite secure. There also seems to be a lot of opportunity across the company's many locations.","Not an international working environment with a very German approach; integration of foreign employees given no consideration; and, support from HR is poor with blunt, useless responses.",Be the first to find this review helpful
234,Fine talent,"Sep 6, 2021 - Senior Officer",5.0,Good place to work Value for your views and opinions,Average salary Responsibility is much,Be the first to find this review helpful
235,Environment,"Sep 6, 2021 - Instrumentation Engineer in Pune",5.0,"Good work culture, Seniors are very helpful",No cons because everything is fantastic,Be the first to find this review helpful
236,Good Experience,"Nov 9, 2021 - Product Manager in Berlin",3.0,"International culture, good people, and interesting industry.","Bureaucracy, corporate culture and slow processes.",Be the first to find this review helpful
237,good work experince NA,"Sep 2, 2021 - Anonymous Employee in Pune",5.0,good work experince N A,location Far from the major pune,Be the first to find this review helpful
238,Social responsible and family friendly,"Apr 8, 2021 - Technical Project Manager (Software Engineering) in Wolfsburg, Lower Saxony",3.0,Remote office work possible. Very family friendly. Most of colleagues in Germany are very good colleagues. Very strong workers' union.,"There are 20% old fashioned macho types which still have the old german mentality (from before 1979) which think women are below them. These discriminating bullies are still around, also destructive people from the old management culture, which brought the company to its knees, and with their attitude they destroy the team spirit and demotivate the surrounding team. When these people are managers, they are there for their own gain; they change the position a lot. Although there are also good ones who care for their employees.",1 person found this review helpful
239,ok,"Aug 23, 2021 - NVH CAE Engineer in São Paulo, São Paulo",5.0,good oportunities nice infrastructure access to development,Salary is difficult to change( have upgrade) and difficult to get a promotion,Be the first to find this review helpful
240,Volkswagen of Freehold,"Oct 7, 2015 - Cashier/Receptionist in Freehold, NJ",1.0,"Work was easy, night shift barely anything to do","Hours, No vacation time, management at the time was awful",Be the first to find this review helpful
241,Compliance,"May 18, 2018 - NONE in Herndon, VA",1.0,Friendly staff and good hours,Completely white male dominated and no upward mobility,1 person found this review helpful
242,dont do it!!!,"Oct 5, 2016 - Sales Representative in Dothan, AL",1.0,can be decent money if you're good at prospecting,LONG HOURS COMPLETELY COMMISSION BASED DISHONEST PRACTICES,Be the first to find this review helpful
243,Great Work Culture & Team,"Mar 14, 2022 - CHIEF MANAGER in Mumbai",5.0,Have experienced a good working culture over there ; Amazing co workers,Honestly there is nothing to comment upon the Cons,Be the first to find this review helpful
244,Ok,"Mar 18, 2022 - Quality Engineer in Bratislava",3.0,"13, 14 salary Green koncern Modern offices Flexible hours at my place","Too many byrocracy, too long Not stable place, racios Too little people, minimum hiring Lots of micromanagement",Be the first to find this review helpful
245,perfect,"Mar 8, 2022 - Graduate Student",5.0,home office is a really good option and flexible work time,too much work at the beginning,Be the first to find this review helpful
246,Great company,"Mar 9, 2022 - Sales Executive in Cardiff, Wales",5.0,good pay and management structure,dont have any cons to talk about,Be the first to find this review helpful
247,"Really nice working environment, topics and young people","Mar 3, 2022 - Werkstudent Data Scientist",5.0,--> Nice working environment --> Very interesting topics & projects,Not really any cons apart from typical paper work at big companies,Be the first to find this review helpful
248,Good working environment with nice team,"Mar 18, 2022 - Senior Analyst in Beijing, Beijing",4.0,"Good work life balance, nice team, many learning opportunities",Slow decision-making process; limited chance for rotation,Be the first to find this review helpful
249,Best employer,"Mar 2, 2022 - Project Manager Systems Verification",5.0,Perfect place to work ever,Nothing much to really highlight,Be the first to find this review helpful
250,good,"Feb 17, 2022 - Anonymous Employee",5.0,good workplace environment and friendly,mandatory unpaid overtime which is not great,Be the first to find this review helpful
251,Owner of Product in company and market,"Mar 7, 2022 - Senior Product Manager in Pune",4.0,"Right processes, optimum opportunity, respect for work and values culture","Lobby inside, disproportionate selective growth,",Be the first to find this review helpful
252,It was good,"Mar 11, 2022 - Product Specialist",4.0,Great product and nice perks,Customers don’t like car sales people,Be the first to find this review helpful
253,Projekt ma,"Mar 10, 2022 - Project Manager",3.0,The company use many additional tools,It have too much hierarchy,Be the first to find this review helpful
254,VG BA,"Feb 10, 2022 - Business Analyst in Bedok New Town,",5.0,High exposures and Good benefits,too tired too tired too tired,Be the first to find this review helpful
255,Supervisor,"Mar 2, 2022 - Supervisor in São Paulo, São Paulo",3.0,Good company lots of opportunity,Too much politics in the company,Be the first to find this review helpful
256,VW Shanghai,"Feb 22, 2022 - Engineer",4.0,"Good work life balance, not very busy","Slow salary increase, slow promotion",Be the first to find this review helpful
257,Assembly planning specialist,"Feb 26, 2022 - Planning Specialist in Bratislava",3.0,"big projects, creative work, flexible worktime",lots of stress and pressure,Be the first to find this review helpful
258,Great place to work,"Jan 15, 2022 - Receptionist",5.0,"Flexible scheduling, great coworkers, brand you can be proud about.",Customers are usually difficult to deal with.,Be the first to find this review helpful
259,VWSA,"Dec 15, 2021 - Senior Team LEader in Port Elizabeth",4.0,good working climate and many perks,"long hours and overtime, structure of global corporation",Be the first to find this review helpful
260,stable and giant company,"Dec 14, 2021 - Logistics Manager in Shanghai, Shanghai",4.0,good pay for the young staff,lack of opportunity to promotion,Be the first to find this review helpful
261,Good,"Dec 12, 2021 - Product Manager in Milton Keynes, England",4.0,Development Opportunities & desirable brand / product,Old fashioned culture & Renumeration,Be the first to find this review helpful
262,good company,"Nov 25, 2021 - Manager in Coventry, England",5.0,"I like this company, good leader.",I dont like the food in the company,Be the first to find this review helpful
263,Senior Manager,"Nov 24, 2021 - Anonymous Employee in Pune",5.0,Good worklife balance and good culture,Bad middle management and delay in decision,Be the first to find this review helpful
264,Enjoyable,"Nov 23, 2021 - Administrative Assistant",5.0,"Professional environment, great work life balance",Nothing that comes to my mind,Be the first to find this review helpful
265,How does it feel like,"Nov 15, 2021 - Supply Chain Manager in Beijing, Beijing",5.0,- good culture - nice people - clear career path,growth in salary is slow,Be the first to find this review helpful
266,Great employer,"Nov 29, 2021 - Mechanical Engineer in Lisbon, Lisbon",4.0,Great employer with great challenges,there are no cons in VW,Be the first to find this review helpful
267,Nice place to wirk,"Nov 26, 2021 - Digital Marketing Manager in Dublin, Dublin",4.0,"Nice team culture, good exposure to a well known brand","Salaries not great, progression only happens to the lucky few",1 person found this review helpful
268,Excellent company,"Nov 14, 2021 - Software Engineer in Pune",5.0,Best company to join anytime,Nothing but expetation to develop new things are high,Be the first to find this review helpful
269,Company that appreciates its employees,"Nov 9, 2021 - Automotive Sales in Sydney",5.0,Good working environment with the-best-value-for-money product,Work on the weekends and holidays,Be the first to find this review helpful
270,Wonderful Company,"Nov 9, 2021 - Intern in Wolfsburg, Lower Saxony",5.0,"Location, Global Company, Colleagues, Work and Transparent recruiting",Nothing to write here. As everything was perfect.,Be the first to find this review helpful
271,Salary,"Nov 9, 2021 - Car Salesman in Kildare",5.0,Good commission and nice cars,Long hours and challenging targets,Be the first to find this review helpful
272,no,"Nov 18, 2021 - Credit Analyst in Pune",4.0,it is nice company nice reputation,it is not a good managment,Be the first to find this review helpful
273,Great Opportunity!,"Nov 1, 2021 - Internship in Taipei",5.0,Learn a lot from an international company's views. project planning hr operation,a little bit too stressful,Be the first to find this review helpful
274,great people to work with.,"Nov 15, 2021 - Receptionist",4.0,Great people to work with. Great environment.,They overwork their employees and demand a lot for what they compensate.,Be the first to find this review helpful
275,Good Experience for Interns,"Nov 12, 2021 - Internship",4.0,A lot of projects to do,The company is big and can be overwhelming at first,Be the first to find this review helpful
276,Review,"Oct 26, 2021 - SERVICE ADVISOR in Stoke-on-Trent, England",5.0,Friendly people To work with Good wages,Work pressure from customer’s satisfaction,1 person found this review helpful
277,Happy,"Oct 28, 2021 - Sales Associate in Rickmansworth, England",5.0,Cars and the people I worked with,Being made redundant was my,Be the first to find this review helpful
278,okay,"Oct 12, 2021 - Konstrukteur und Entwicklungsingenieur in Braunschweig",5.0,"Gehalt, Betriebsrente, Sonderzahlungen, Altersteilzeit, 35 Stundenwoche",es gibt zu viele Streber,Be the first to find this review helpful
279,Great company!!,"Oct 5, 2021 - Anonymous Employee",5.0,Excellent international company. Great benefits.,Sometimes work becomes a bit bureaucratic,Be the first to find this review helpful
280,n/a,"Oct 5, 2021 - Designer in Hyderābād",5.0,good better excellent is was,nothing is downside over there,Be the first to find this review helpful
281,Great employer,"Nov 29, 2021 - Mechanical Engineer in Lisbon, Lisbon",4.0,Great employer with great challenges,there are no cons in VW,Be the first to find this review helpful
282,Overall Nice Place to Work,"Oct 29, 2021 - Senior Product Analyst in São Bernardo do Campo",4.0,Nice to learn about corporate and professional relations Great place to build a relevant network Job stability,Bureaucratic and slow decision-making company No meritocracy plan to recognize employees Professional opportunities are not clearly shared Competitive salaries have been decreasing steadily in the last years,Be the first to find this review helpful
283,great people to work with.,"Nov 15, 2021 - Receptionist",4.0,Great people to work with. Great environment.,They overwork their employees and demand a lot for what they compensate.,Be the first to find this review helpful
284,Work shop manager,"Sep 14, 2021 - Workshop Manager in Cairo, Cairo Governorate",5.0,Work with team Response for all work shop,There is no nagtive points,Be the first to find this review helpful
285,Good Experience for Interns,"Nov 12, 2021 - Internship",4.0,A lot of projects to do,The company is big and can be overwhelming at first,Be the first to find this review helpful
286,no,"Nov 18, 2021 - Credit Analyst in Pune",4.0,it is nice company nice reputation,it is not a good managment,Be the first to find this review helpful
287,"Good company, Bad Manegers","Nov 10, 2021 - Cost Accountant in Cholula, Puebla",4.0,Benefits. Rental car. Christmas bonus. Profit shares.,Manager very old mind fashion,Be the first to find this review helpful
288,Excellent community environment,"Sep 16, 2021 - Receptionist",5.0,Great progression. Amazing team and management.,Minimum wage and working weekends,Be the first to find this review helpful
289,Very good,"Sep 18, 2021 - Visual Researcher in Frankfurt am Main",5.0,So good to work here,There is nothing to complain,Be the first to find this review helpful
290,Great fake review,"Sep 13, 2021 - Zero Hour Teller in Munich, Bavaria",5.0,Great place to post okay,None none none none nonee,Be the first to find this review helpful
291,The square root of the number of employees do 50% of the work.,"Aug 7, 2021 - Planer in Braunschweig",3.0,"The company provides many benefits, good salary, has a strong reputation and employment seems to be quite secure. There also seems to be a lot of opportunity across the company's many locations.","Not an international working environment with a very German approach; integration of foreign employees given no consideration; and, support from HR is poor with blunt, useless responses.",Be the first to find this review helpful
292,Fine talent,"Sep 6, 2021 - Senior Officer",5.0,Good place to work Value for your views and opinions,Average salary Responsibility is much,Be the first to find this review helpful
293,Environment,"Sep 6, 2021 - Instrumentation Engineer in Pune",5.0,"Good work culture, Seniors are very helpful",No cons because everything is fantastic,Be the first to find this review helpful
294,Good Experience,"Nov 9, 2021 - Product Manager in Berlin",3.0,"International culture, good people, and interesting industry.","Bureaucracy, corporate culture and slow processes.",Be the first to find this review helpful
295,good work experince NA,"Sep 2, 2021 - Anonymous Employee in Pune",5.0,good work experince N A,location Far from the major pune,Be the first to find this review helpful
296,Social responsible and family friendly,"Apr 8, 2021 - Technical Project Manager (Software Engineering) in Wolfsburg, Lower Saxony",3.0,Remote office work possible. Very family friendly. Most of colleagues in Germany are very good colleagues. Very strong workers' union.,"There are 20% old fashioned macho types which still have the old german mentality (from before 1979) which think women are below them. These discriminating bullies are still around, also destructive people from the old management culture, which brought the company to its knees, and with their attitude they destroy the team spirit and demotivate the surrounding team. When these people are managers, they are there for their own gain; they change the position a lot. Although there are also good ones who care for their employees.",1 person found this review helpful
297,Volkswagen of Freehold,"Oct 7, 2015 - Cashier/Receptionist in Freehold, NJ",1.0,"Work was easy, night shift barely anything to do","Hours, No vacation time, management at the time was awful",Be the first to find this review helpful
298,Compliance,"May 18, 2018 - NONE in Herndon, VA",1.0,Friendly staff and good hours,Completely white male dominated and no upward mobility,1 person found this review helpful
299,dont do it!!!,"Oct 5, 2016 - Sales Representative in Dothan, AL",1.0,can be decent money if you're good at prospecting,LONG HOURS COMPLETELY COMMISSION BASED DISHONEST PRACTICES,Be the first to find this review helpful
300,Great Work Culture & Team,"Mar 14, 2022 - CHIEF MANAGER in Mumbai",5.0,Have experienced a good working culture over there ; Amazing co workers,Honestly there is nothing to comment upon the Cons,Be the first to find this review helpful
301,Ok,"Mar 18, 2022 - Quality Engineer in Bratislava",3.0,"13, 14 salary Green koncern Modern offices Flexible hours at my place","Too many byrocracy, too long Not stable place, racios Too little people, minimum hiring Lots of micromanagement",Be the first to find this review helpful
302,perfect,"Mar 8, 2022 - Graduate Student",5.0,home office is a really good option and flexible work time,too much work at the beginning,Be the first to find this review helpful
303,Great company,"Mar 9, 2022 - Sales Executive in Cardiff, Wales",5.0,good pay and management structure,dont have any cons to talk about,Be the first to find this review helpful
304,"Really nice working environment, topics and young people","Mar 3, 2022 - Werkstudent Data Scientist",5.0,--> Nice working environment --> Very interesting topics & projects,Not really any cons apart from typical paper work at big companies,Be the first to find this review helpful
305,Good working environment with nice team,"Mar 18, 2022 - Senior Analyst in Beijing, Beijing",4.0,"Good work life balance, nice team, many learning opportunities",Slow decision-making process; limited chance for rotation,Be the first to find this review helpful
306,Best employer,"Mar 2, 2022 - Project Manager Systems Verification",5.0,Perfect place to work ever,Nothing much to really highlight,Be the first to find this review helpful
307,good,"Feb 17, 2022 - Anonymous Employee",5.0,good workplace environment and friendly,mandatory unpaid overtime which is not great,Be the first to find this review helpful
308,Owner of Product in company and market,"Mar 7, 2022 - Senior Product Manager in Pune",4.0,"Right processes, optimum opportunity, respect for work and values culture","Lobby inside, disproportionate selective growth,",Be the first to find this review helpful
309,It was good,"Mar 11, 2022 - Product Specialist",4.0,Great product and nice perks,Customers don’t like car sales people,Be the first to find this review helpful
310,Projekt ma,"Mar 10, 2022 - Project Manager",3.0,The company use many additional tools,It have too much hierarchy,Be the first to find this review helpful
311,VG BA,"Feb 10, 2022 - Business Analyst in Bedok New Town,",5.0,High exposures and Good benefits,too tired too tired too tired,Be the first to find this review helpful
312,Supervisor,"Mar 2, 2022 - Supervisor in São Paulo, São Paulo",3.0,Good company lots of opportunity,Too much politics in the company,Be the first to find this review helpful
313,VW Shanghai,"Feb 22, 2022 - Engineer",4.0,"Good work life balance, not very busy","Slow salary increase, slow promotion",Be the first to find this review helpful
314,Assembly planning specialist,"Feb 26, 2022 - Planning Specialist in Bratislava",3.0,"big projects, creative work, flexible worktime",lots of stress and pressure,Be the first to find this review helpful
315,Great place to work,"Jan 15, 2022 - Receptionist",5.0,"Flexible scheduling, great coworkers, brand you can be proud about.",Customers are usually difficult to deal with.,Be the first to find this review helpful
316,VWSA,"Dec 15, 2021 - Senior Team LEader in Port Elizabeth",4.0,good working climate and many perks,"long hours and overtime, structure of global corporation",Be the first to find this review helpful
317,stable and giant company,"Dec 14, 2021 - Logistics Manager in Shanghai, Shanghai",4.0,good pay for the young staff,lack of opportunity to promotion,Be the first to find this review helpful
318,Good,"Dec 12, 2021 - Product Manager in Milton Keynes, England",4.0,Development Opportunities & desirable brand / product,Old fashioned culture & Renumeration,Be the first to find this review helpful
319,good company,"Nov 25, 2021 - Manager in Coventry, England",5.0,"I like this company, good leader.",I dont like the food in the company,Be the first to find this review helpful
320,Senior Manager,"Nov 24, 2021 - Anonymous Employee in Pune",5.0,Good worklife balance and good culture,Bad middle management and delay in decision,Be the first to find this review helpful
321,Enjoyable,"Nov 23, 2021 - Administrative Assistant",5.0,"Professional environment, great work life balance",Nothing that comes to my mind,Be the first to find this review helpful
322,How does it feel like,"Nov 15, 2021 - Supply Chain Manager in Beijing, Beijing",5.0,- good culture - nice people - clear career path,growth in salary is slow,Be the first to find this review helpful
323,Great employer,"Nov 29, 2021 - Mechanical Engineer in Lisbon, Lisbon",4.0,Great employer with great challenges,there are no cons in VW,Be the first to find this review helpful
324,Nice place to wirk,"Nov 26, 2021 - Digital Marketing Manager in Dublin, Dublin",4.0,"Nice team culture, good exposure to a well known brand","Salaries not great, progression only happens to the lucky few",1 person found this review helpful
325,Excellent company,"Nov 14, 2021 - Software Engineer in Pune",5.0,Best company to join anytime,Nothing but expetation to develop new things are high,Be the first to find this review helpful
326,Company that appreciates its employees,"Nov 9, 2021 - Automotive Sales in Sydney",5.0,Good working environment with the-best-value-for-money product,Work on the weekends and holidays,Be the first to find this review helpful
327,Wonderful Company,"Nov 9, 2021 - Intern in Wolfsburg, Lower Saxony",5.0,"Location, Global Company, Colleagues, Work and Transparent recruiting",Nothing to write here. As everything was perfect.,Be the first to find this review helpful
328,Salary,"Nov 9, 2021 - Car Salesman in Kildare",5.0,Good commission and nice cars,Long hours and challenging targets,Be the first to find this review helpful
329,no,"Nov 18, 2021 - Credit Analyst in Pune",4.0,it is nice company nice reputation,it is not a good managment,Be the first to find this review helpful
330,Great Opportunity!,"Nov 1, 2021 - Internship in Taipei",5.0,Learn a lot from an international company's views. project planning hr operation,a little bit too stressful,Be the first to find this review helpful
